Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Price Range,Price Change %,Turnover per Trade,Anomaly,Year
2011-10-07,RELIANCE,EQ,767.0,786.7,808.0,784.9,806.05,802.9,795.33,4551326,361981348975000.0,148911.0,2278876.0,0.5007,23.100000000000023,2.0592347781873563,2430857015.096266,0,2011
2011-10-10,RELIANCE,EQ,802.9,804.25,830.9,804.2,829.0,829.25,821.32,3393633,278727334620000.0,101332.0,1235323.0,0.364,26.699999999999932,3.108486167236556,2750634889.47223,0,2011
2011-10-11,RELIANCE,EQ,829.25,835.0,841.4,822.5,824.5,827.0,830.94,3592510,298515819290000.0,83747.0,1344026.0,0.3741,18.899999999999977,-0.9580838323353293,3564495674.9495506,0,2011
2011-10-12,RELIANCE,EQ,827.0,829.4,851.9,826.05,847.6,849.65,838.85,3947624,331146958715000.0,90025.0,1428349.0,0.3618,25.850000000000023,2.4415239932481314,3678388877.700639,0,2011
2011-10-13,RELIANCE,EQ,849.65,850.0,858.0,842.1,845.25,846.9,849.78,4195352,356510734590000.0,111283.0,1555746.0,0.3707999999999999,15.899999999999977,-0.3647058823529439,3203640579.3337708,0,2011
2011-10-14,RELIANCE,EQ,846.9,842.0,869.7,841.5,865.0,866.9,860.41,4085035,351479732955000.0,112218.0,1179539.0,0.2887,28.200000000000045,2.9572446555819454,3132115462.3589797,0,2011
2011-10-17,RELIANCE,EQ,866.9,867.0,868.85,831.15,833.05,833.8,840.34,5040808,423597571620000.0,134399.0,1900108.0,0.3769,37.700000000000045,-3.8292964244521386,3151791096.808756,0,2011
2011-10-18,RELIANCE,EQ,833.8,825.0,826.4,811.35,820.7,819.9,817.64,4182965,342014659930000.0,109003.0,1932200.0,0.4619,15.049999999999955,-0.6181818181818209,3137662815.977542,0,2011
2011-10-19,RELIANCE,EQ,819.9,825.5,845.0,824.1,841.6,843.0,836.18,2713867,226927475645000.0,69847.0,949120.0,0.3497,20.899999999999977,2.1199273167777104,3248922296.5195355,0,2011
2011-10-20,RELIANCE,EQ,843.0,834.85,840.9,822.0,840.4,838.7,829.69,2279371,189117197790000.0,61441.0,572567.0,0.2512,18.899999999999977,0.4611606875486641,3078029292.9802575,0,2011
2011-10-21,RELIANCE,EQ,838.7,840.0,849.2,831.1,839.2,835.75,841.53,2364175,198952350870000.0,62752.0,563838.0,0.2385,18.100000000000023,-0.5059523809523809,3170454342.0130033,0,2011
2011-10-24,RELIANCE,EQ,835.75,848.0,854.0,843.55,845.2,846.5,848.33,2075894,176104666930000.0,53038.0,743502.0,0.3582,10.450000000000045,-0.1768867924528302,3320348937.1771183,0,2011
2011-10-25,RELIANCE,EQ,846.5,855.0,880.95,842.15,877.0,875.95,865.09,5197046,449589771215000.0,104429.0,2595471.0,0.4994,38.80000000000007,2.450292397660824,4305219538.777543,0,2011
2011-10-26,RELIANCE,EQ,875.95,879.0,881.5,871.05,872.0,873.6,874.74,737231,64488320690000.0,23106.0,226438.0,0.3071,10.450000000000045,-0.6143344709897586,2790977265.212499,0,2011
2011-10-28,RELIANCE,EQ,873.6,899.7,904.0,884.1,900.4,900.0,894.68,5606883,501638921150000.0,143535.0,3574282.0,0.6375000000000001,19.899999999999977,0.03334444814937807,3494889198.801686,0,2011
2011-10-31,RELIANCE,EQ,900.0,898.0,899.3,872.55,875.0,877.55,885.78,3628082,321368627515000.0,86776.0,2282284.0,0.6291,26.75,-2.2772828507795153,3703427531.978888,0,2011
2011-11-01,RELIANCE,EQ,877.55,870.5,878.5,857.6,861.0,860.6,866.16,3745221,324396433155000.0,77468.0,2094502.0,0.5592,20.899999999999977,-1.1372774267662236,4187489455.710745,0,2011
2011-11-02,RELIANCE,EQ,860.6,855.0,880.95,855.0,872.4,871.8,871.79,3143275,274026790255000.03,80915.0,1165666.0,0.3707999999999999,25.950000000000045,1.964912280701749,3386600633.4425015,0,2011
2011-11-03,RELIANCE,EQ,871.8,867.75,889.35,863.0,889.35,885.9,876.45,3666997,321394910860000.0,79172.0,1628434.0,0.4441,26.350000000000023,2.091616248919617,4059451710.95842,0,2011
2011-11-04,RELIANCE,EQ,885.9,905.0,905.0,872.65,879.05,879.95,883.47,4171957,368579713720000.0,96283.0,1934117.0,0.4636,32.35000000000002,-2.7679558011049674,3828087136.0468616,0,2011
